,episode_0_reward,episode_0_color_easy
555,7.959894329781527,-1
556,7.950965110544341,-1
557,7.98860178133099,-1
558,7.971676044939466,-1
559,7.969606816260615,1
560,7.981152260344845,1
561,7.98239373195773,1
562,7.907900017633342,1
563,7.9667297473993095,1
564,7.9417324931514415,-1
565,7.955678178401958,-1
566,7.959824501228816,-1
567,7.9860449989155144,-1
568,7.955953680075919,-1
569,7.937517768316622,1
570,7.9704561166729535,1
571,7.966123396115613,1
572,7.913912289846293,1
573,7.925121986582833,1
574,7.982841341796884,-1
575,7.876212360183592,-1
576,7.898793319049641,-1
577,7.767014610797213,-1
578,7.8847693076077725,-1
579,7.9862283562852605,1
580,7.986816780325013,1
581,7.989597796392725,1
582,7.988867561063521,1
583,7.959488060353352,1
584,7.970761841554999,-1
585,7.959747050611925,-1
586,7.946815173834658,-1
587,7.9729896590722475,-1
588,7.970350278394817,-1
589,7.948982589069178,1
590,7.974340991459268,1
591,7.980200042305334,1
592,7.97353520910087,1
593,7.987865236538985,1
594,7.948444529450343,-1
595,7.9732455015699175,-1
596,7.960088714919819,-1
597,7.91630166905362,-1
598,7.881435643838793,-1
599,7.909787867999569,1
600,7.9504813311243225,1
601,7.955398455769667,1
602,7.90907860506608,1
603,7.8966654246975345,1
604,7.957324746958319,-1
605,7.938819450384139,-1
606,7.962766127858628,-1
607,7.863283580229995,-1
608,7.987056742555006,-1
609,7.980102720678587,1
610,7.977115305887358,1
611,7.9729467691689395,1
612,7.957952698983996,1
613,7.915154961958001,1
614,7.969849111400775,-1
615,7.969598540733251,-1
616,7.976762441148896,-1
617,7.988694984074911,-1
618,7.96299007294809,-1
619,7.9953356257396635,1
620,7.967831658613621,1
621,7.941504316009117,1
622,7.9510350029017145,1
623,7.9568506103183445,1
624,7.816858713031159,-1
625,7.882305307127375,-1
626,7.844548158043061,-1
627,7.901028523902655,-1
628,7.848266298284514,-1
629,7.739443574579599,1
630,7.780838831436243,1
631,7.89774180446499,1
632,7.872708736973637,1
633,7.9345178777081165,1
634,7.955899006878961,-1
635,7.95410119831882,-1
636,7.943904596337464,-1
637,7.98080048896615,-1
638,7.985756782051618,-1
639,7.996056638712691,1
640,7.985260718975904,1
641,7.983141500524515,1
642,7.982339499900105,1
643,7.943236740144447,1
644,7.987606628616629,-1
645,7.975558905447235,-1
646,7.957666239282049,-1
647,7.992237673951441,-1
648,7.995540643742356,-1
649,7.966401989186395,1
650,7.914955882930688,1
651,7.934100660563542,1
652,7.821195707395923,1
653,7.931549801982344,1
654,7.97010766360448,-1
655,7.975618197397936,-1
656,7.945633733046599,-1
657,7.873192429316899,-1
658,7.912971842401466,-1
659,7.919560387196819,1
660,7.869962523513426,1
661,7.914703894728259,1
662,7.897605521256551,1
663,7.916793308364294,1
664,7.893573603462231,-1
665,7.9319378192350785,-1
666,7.952098066075637,-1
667,7.957501079239304,-1
668,7.932028345625262,-1
669,7.920689604344833,1
670,7.898009935360388,1
671,7.745529002266614,1
672,7.837182799431561,1
673,7.882216832821788,1
674,7.925756276462495,-1
675,7.941330792250662,-1
676,7.950330163145309,-1
677,7.931807589395034,-1
678,7.921233345391924,-1
679,7.9101497098988505,1
680,7.905082235304059,1
681,7.9458068286486325,1
682,7.931496230186722,1
683,7.953748713707756,1
684,7.934796693580781,-1
685,7.964940995540613,-1
686,7.969663989781466,-1
687,7.916729611944746,-1
688,7.944195777514754,-1
689,7.920124155921271,1
690,7.906250958475008,1
691,7.876171676706283,1
692,7.81596852065697,1
693,7.783560839313979,1
694,7.849948106337299,-1
695,7.912035488190951,-1
696,7.948886615545352,-1
697,7.959655955014934,-1
698,7.920065947218072,-1
699,7.899066863817687,1
700,7.911875392130781,1
701,7.906428454288494,1
702,7.861305722336453,1
703,7.8735734469975736,1
704,7.858822607942436,-1
705,7.932708216093464,-1
706,7.934255609813618,-1
707,7.97491229599572,-1
708,7.939618027771741,-1
709,7.949203854942498,1
710,7.9303854935782825,1
711,7.914944253984502,1
712,7.738565312406337,1
713,7.876774766858577,1
714,7.950765086105801,-1
715,7.965126092586962,-1
716,7.9673987029009945,-1
717,7.955344537231208,-1
718,7.945132118778127,-1
719,7.9262177323992375,1
720,7.883769788476088,1
721,7.954202630352532,1
722,7.900861645224822,1
723,7.954274375540532,1
724,7.987360340370967,-1
725,7.988501678290594,-1
726,7.978855150624545,-1
727,7.957473687681864,-1
728,7.924511729364364,-1
729,7.8983460841208375,1
730,7.944872889058167,1
731,7.948828721335138,1
732,7.889502104668465,1
733,7.835630342320801,1
734,7.9665875541535245,-1
735,7.971616727001614,-1
736,7.9797174805708435,-1
737,7.97371305925425,-1
738,7.93082707373317,-1
739,7.885798522250531,1
740,7.876605893905275,1
741,7.951803781027902,1
742,7.899767539390581,1
743,7.94083838540239,1
744,7.9634475800466165,-1
745,7.965318500529243,-1
746,7.974520315056652,-1
747,7.989327396914551,-1
748,7.948694762638666,-1
749,7.906604197123151,1
750,7.922686547718814,1
751,7.924603009589008,1
752,7.758332442205839,1
753,7.834805621427689,1
754,7.956713460818352,-1
755,7.97016003581971,-1
756,7.970691176450313,-1
757,7.932080766802496,-1
758,7.939241983976697,-1
759,7.92554234467728,1
760,7.9067742332738815,1
761,7.949020957103596,1
762,7.837773336108086,1
763,7.956500460513175,1
764,7.985746204190431,-1
765,7.979341841627097,-1
766,7.980047072604421,-1
767,7.887355830045783,-1
768,7.940857765420743,-1
769,7.965755436461161,1
770,7.953827681634925,1
771,7.93659019274578,1
772,7.799477837500823,1
773,7.887210910165715,1
774,7.927058945951817,-1
775,7.89735070416396,-1
776,7.932554489483661,-1
777,7.904879214419012,-1
778,7.919473704163265,-1
779,7.910218897581115,1
780,7.881727184227836,1
781,7.93558071771781,1
782,7.858436068943027,1
783,7.929099305091032,1
784,7.978600459683705,-1
785,7.96313047523052,-1
786,7.968370271757832,-1
787,7.965948213220351,-1
788,7.701411992691893,-1
789,7.943287700562742,1
790,7.966643641914567,1
791,7.963179703052682,1
792,7.944060497113609,1
793,7.915822037638038,1
794,7.946345889594533,-1
795,7.9672498467150845,-1
